date,spy_return,spmo_return,excess_return,Mkt_RF,SMB,HML,RF,iqr_outlier,excess_lag1,excess_mean_3m,spy_vol_3m,mkt_mean_3m,hml_mean_3m,target_excess_next,target_underperform_next
2017-01-31,0.0179,0.0092,-0.0087,0.0194,-0.0116,-0.0276,0.0004,False,,,,,,0.0005,0
2017-02-28,0.0393,0.0398,0.0005,0.0355,-0.0215,-0.015,0.0004,False,-0.0087,,,,,-0.0199,1
2017-03-31,0.0012,-0.0187,-0.0199,0.0017,0.0113,-0.0333,0.0003,False,0.0005,-0.009366666666666667,0.0190982547195636,0.018866666666666667,-0.0253,0.0161,0
2017-04-30,0.0098999999999999,0.026,0.0161,0.0108,0.0066,-0.0205,0.0005,False,-0.0199,-0.0011000000000000003,0.01996521975836982,0.016,-0.022933333333333333,0.0045,0
2017-05-31,0.0141,0.0186,0.0045,0.0107,-0.0252,-0.0382,0.0006,False,0.0161,0.00023333333333333292,0.006579513659838386,0.0077333333333333325,-0.030666666666666665,0.0089,0
2017-06-30,0.0064,0.0153,0.0089,0.0079,0.0221,0.015,0.0006,False,0.0045,0.009833333333333333,0.003855299383100281,0.009800000000000001,-0.014566666666666665,0.0025999999999999,0
2017-07-31,0.0206,0.0232,0.0025999999999999,0.0188,-0.0145,-0.0023,0.0007,False,0.0089,0.0053333333333333,0.007108445681019168,0.012466666666666668,-0.008499999999999999,0.0078,0
2017-08-31,0.0029,0.0107,0.0078,0.0018,-0.0167,-0.0213,0.0009,False,0.0025999999999999,0.0064333333333333005,0.009373544331432662,0.0095,-0.0028666666666666654,-0.0080999999999999,1
2017-09-30,0.0200999999999999,0.012,-0.0080999999999999,0.0249,0.0445,0.0315,0.0009,False,0.0078,0.0007666666666666667,0.010077863530199883,0.015166666666666667,0.0026333333333333347,0.0542,0
2017-10-31,0.0236,0.0778,0.0542,0.0226,-0.0193,0.0013,0.0009,False,-0.0080999999999999,0.0179666666666667,0.011079861611650796,0.01643333333333333,0.0038333333333333344,-0.0045,1
2017-11-30,0.0306,0.0260999999999999,-0.0045,0.0312,-0.006,-0.0009,0.0008,False,0.0542,0.0138666666666667,0.00534633831078187,0.02623333333333333,0.010633333333333335,-0.002,1
2017-12-31,0.0121,0.0101,-0.002,0.0106,-0.0132,0.0005,0.0009,False,-0.0045,0.0159,0.00934077084613471,0.021466666666666665,0.00030000000000000117,0.0167,0
2018-01-31,0.0562999999999999,0.073,0.0167,0.0558,-0.0316,-0.0132,0.0011,False,-0.002,0.0034000000000000024,0.022197522384266175,0.03253333333333333,-0.004533333333333332,0.0314,0
2018-02-28,-0.0364,-0.005,0.0314,-0.0364,0.0027,-0.011,0.0011,False,0.0167,0.015366666666666667,0.04636661873949112,0.009999999999999997,-0.007899999999999999,-0.0121,1
2018-03-31,-0.0274,-0.0395,-0.0121,-0.0235,0.0405,-0.0021,0.0012,False,0.0314,0.012000000000000002,0.05112073943127187,-0.0013666666666666664,-0.008766666666666666,0.0089,0
2018-04-30,0.0052,0.0141,0.0089,0.0027,0.0109,0.0053,0.0014,False,-0.0121,0.0094,0.021887287025424914,-0.019066666666666666,-0.0025999999999999986,0.0152999999999999,0
2018-05-31,0.0243,0.0395999999999999,0.0152999999999999,0.0266,0.0524,-0.0314,0.0014,False,0.0089,0.004033333333333301,0.02614211162090776,0.0019333333333333331,-0.009399999999999999,-0.0058,1
2018-06-30,0.0056999999999999,-0.0001,-0.0058,0.0049,0.0111,-0.0233,0.0014,False,0.0152999999999999,0.0061333333333333006,0.010885923632532716,0.0114,-0.016466666666666668,-0.0016,1
2018-07-31,0.037,0.0354,-0.0016,0.032,-0.0223,0.0049,0.0016,False,-0.0058,0.0026333333333333014,0.015742405576446548,0.021166666666666667,-0.0166,0.0127,0
2018-08-31,0.0319,0.0446,0.0127,0.0345,0.0114,-0.0391,0.0016,False,-0.0016,0.0017666666666666675,0.016793550349266103,0.0238,-0.01916666666666667,0.0077,0
2018-09-30,0.006,0.0137,0.0077,0.0006,-0.0229,-0.0162,0.0015,False,0.0127,0.006266666666666668,0.016622374479397753,0.02236666666666667,-0.0168,-0.029,1
2018-10-31,-0.0691,-0.0981,-0.029,-0.0765,-0.047,0.0338,0.0019,False,0.0077,-0.0028666666666666667,0.05245922225881737,-0.013799999999999998,-0.007166666666666668,-0.0027,1
2018-11-30,0.0186,0.0159,-0.0027,0.0171,-0.0073,0.0036,0.0018,False,-0.029,-0.008,0.04741669888692519,-0.019599999999999996,0.0070666666666666655,0.0006999999999999,0
2018-12-31,-0.0878999999999999,-0.0872,0.0006999999999999,-0.0955,-0.0231,-0.0192,0.0019,False,-0.0027,-0.010333333333333366,0.05684332268027028,-0.05163333333333333,0.0060666666666666655,0.0113999999999999,0
2019-01-31,0.0801,0.0915,0.0113999999999999,0.0837,0.0276,-0.0039,0.0021,False,0.0006999999999999,0.0031333333333332662,0.08499852939904308,0.0017666666666666664,-0.0065,0.0068999999999999,0
2019-02-28,0.0324,0.0393,0.0068999999999999,0.0342,0.0205,-0.0266,0.0018,False,0.0113999999999999,0.0063333333333332326,0.0865749963904128,0.007466666666666667,-0.016566666666666664,0.0099999999999999,0
2019-03-31,0.0181,0.0281,0.0099999999999999,0.011,-0.0303,-0.0414,0.0019,False,0.0068999999999999,0.009433333333333233,0.032464801452239525,0.042966666666666674,-0.023966666666666667,-0.0304,1
2019-04-30,0.0408,0.0104,-0.0304,0.0397,-0.0174,0.0213,0.0021,False,0.0099999999999999,-0.0045000000000000664,0.011477078606219156,0.028300000000000002,-0.015566666666666668,0.0389999999999999,0
2019-05-31,-0.0638,-0.0248,0.0389999999999999,-0.0692,-0.0126,-0.0245,0.0021,False,-0.0304,0.006199999999999935,0.05502129890627205,-0.006166666666666665,-0.014866666666666669,-0.0212999999999999,1
2019-06-30,0.0696,0.0483,-0.0212999999999999,0.0692,0.0026,-0.0064,0.0018,False,0.0389999999999999,-0.004233333333333332,0.0701975308207727,0.013233333333333333,-0.0032000000000000028,-0.0065,1
2019-07-31,0.0151,0.0086,-0.0065,0.0123,-0.0196,0.005,0.0019,False,-0.0212999999999999,0.003733333333333335,0.06707088290259293,0.0041,-0.008633333333333335,0.013,0
2019-08-31,-0.0168,-0.0038,0.013,-0.0255,-0.0239,-0.0477,0.0016,False,-0.0065,-0.0049333333333333,0.04368985389462104,0.018666666666666668,-0.016366666666666668,-0.0164,1
2019-09-30,0.0195,0.0031,-0.0164,0.0141,-0.0097,0.0676,0.0018,False,0.013,-0.003300000000000001,0.019810182566885493,0.00030000000000000225,0.008299999999999997,-0.0248,1
2019-10-31,0.0220999999999999,-0.0027,-0.0248,0.0207,0.0027,-0.0192,0.0015,False,-0.0164,-0.0094,0.021747260363855776,0.003100000000000002,0.00023333333333332962,-0.0165,1
2019-11-30,0.0362,0.0197,-0.0165,0.0387,0.0072,-0.02,0.0012,False,-0.0248,-0.019233333333333335,0.008985729426893182,0.024500000000000004,0.009466666666666661,-0.0090999999999999,1
2019-12-31,0.0289999999999999,0.0199,-0.0090999999999999,0.0277,0.0076,0.0173,0.0014,False,-0.0165,-0.016799999999999968,0.0070505318948290005,0.02903333333333333,-0.007300000000000004,0.0304,0
2020-01-31,-0.0004,0.03,0.0304,-0.0011,-0.031,-0.0622,0.0013,False,-0.0090999999999999,0.001600000000000032,0.01938968798098617,0.02176666666666667,-0.021633333333333338,-0.0036999999999999,1
2020-02-29,-0.0791999999999999,-0.0828999999999999,-0.0036999999999999,-0.0815,0.0108,-0.0382,0.0012,False,0.0304,0.005866666666666732,0.055947952003029766,-0.018299999999999997,-0.027700000000000002,0.0393,0
