model,roc_auc,accuracy,precision,recall,f1,brier
baseline_market_momentum,0.6833333333333333,0.6153846153846154,0.3,0.5,0.375,0.2388072888949801
factor_augmented,0.48333333333333334,0.5769230769230769,0.2727272727272727,0.5,0.35294117647058826,0.24531010953870214
