date,spy_return,spmo_return,excess_return
2017-01-31,0.0179,0.0092,-0.0087
2017-02-28,0.0393,0.0398,0.0005000000000000004
2017-03-31,0.0012,-0.0187,-0.0199
2017-04-30,0.009899999999999999,0.026000000000000002,0.016100000000000003
2017-05-31,0.0141,0.018600000000000002,0.004500000000000002
2017-06-30,0.0064,0.015300000000000001,0.008900000000000002
2017-07-31,0.0206,0.0232,0.002599999999999998
2017-08-31,0.0029,0.010700000000000001,0.007800000000000001
2017-09-30,0.020099999999999996,0.012,-0.008099999999999996
2017-10-31,0.0236,0.07780000000000001,0.05420000000000001
2017-11-30,0.030600000000000002,0.026099999999999998,-0.004500000000000004
2017-12-31,0.0121,0.0101,-0.002
2018-01-31,0.056299999999999996,0.073,0.0167
2018-02-28,-0.0364,-0.005,0.031400000000000004
2018-03-31,-0.0274,-0.0395,-0.0121
2018-04-30,0.0052,0.0141,0.0089
2018-05-31,0.024300000000000002,0.039599999999999996,0.015299999999999994
2018-06-30,0.005699999999999999,-0.0001,-0.0058
2018-07-31,0.037000000000000005,0.0354,-0.0016000000000000042
2018-08-31,0.0319,0.0446,0.012700000000000003
2018-09-30,0.006,0.0137,0.0077
2018-10-31,-0.0691,-0.0981,-0.029000000000000012
2018-11-30,0.018600000000000002,0.0159,-0.002700000000000001
2018-12-31,-0.08789999999999999,-0.0872,0.0006999999999999923
2019-01-31,0.0801,0.0915,0.011399999999999993
2019-02-28,0.032400000000000005,0.0393,0.006899999999999996
2019-03-31,0.0181,0.0281,0.009999999999999998
2019-04-30,0.0408,0.0104,-0.030400000000000003
2019-05-31,-0.0638,-0.0248,0.03899999999999999
2019-06-30,0.0696,0.0483,-0.021299999999999993
2019-07-31,0.0151,0.0086,-0.006500000000000001
2019-08-31,-0.0168,-0.0038,0.013
2019-09-30,0.0195,0.0031,-0.0164
2019-10-31,0.022099999999999998,-0.0027,-0.0248
2019-11-30,0.0362,0.0197,-0.016500000000000004
2019-12-31,0.028999999999999998,0.0199,-0.009099999999999997
2020-01-31,-0.0004,0.03,0.0304
